hotel_id,hotel_name,country,city,hotel_type,star_rating,total_rooms,hotel_facilities,hotel_description,nearby_attractions,latitude,longitude,website,customer_id,first_name,last_name,full_name,email,phone,birth_date,gender,country_customer,city_customer,address,postal_code,language_preference,loyalty_level_customer,registration_date,marketing_consent,booking_id,booking_date,checkin_date,checkout_date,nights,adults,children,infants,room_type,rooms_booked,booking_channel,special_requests,is_cancelled,cancellation_date,cancellation_reason,total_price,room_price,tax_amount,service_fee,paid_amount,payment_status,payment_method,booking_source,promotion_code,discount_amount,created_timestamp,updated_timestamp,created_by,booking_status,review_id,review_rating,review_title,review_text,review_date,helpful_votes,is_verified_review,reviewer_location,stay_date,trip_type,room_type_reviewed,source_system,created_at,updated_at
H00354,Finley-Sanders,Malaysia,Kuala Lumpur,Luxury Hotel,4,396,Free WiFi,Move color great at.,Historic Site,-55.798892,110.265344,http://www.horn-smith.com/,C0003713,Emily,Wright,,brianevans@example.org,001-383-342-5864x6140,2007-10-13,Other,Czech Republic,Plzen,"0549 Jennifer Green Suite 296, Plzen",NL 44899,fr,Platinum,2024-06-13,True,BKG_000000011,2023-11-16,2024-11-21,2024-11-29,8,2,2,0,double,1,Web,No requests,True,2025-09-25,,1712.37,1274.61,237.71,41.36,1406.68,Failed,Debit Card,Direct,PROMO769,59.62,2024-09-18 09:42:14,2025-02-10 09:54:40,AGENT,Pending,REV_00000011,4,Positive above account high including particularly could.,Institution improve kid alone star. Well already heavy adult attention quickly. Travel last together chair evening food. Sure new magazine blue.,2024-04-13,23,False,Sharm El Sheikh,2025-02-13,Leisure,suite,CloudBooking,2024-09-18 09:42:14,2025-02-10 09:54:40
H00207,Ferguson-Smith,Netherlands,Rotterdam,Luxury Hotel,5,328,Free WiFi,Effort fact special part create report make. Long product future.,"Beach,Museum,Park",84.423311,157.645289,https://mcdonald-moss.biz/,C0003533,Ryan,Thompson,Ryan Thompson,@gmail.com,672-819-0547x47147,2001-04-18,Other,Sweden,Linköping,"372 Alexandra Expressway, Linköping",KY 95641,en,,2024-11-07,True,BKG_000000012,2023-12-07,2025-06-06,2025-06-13,7,3,3,1,single,3,Mobile App,Extra bed,False,,,566.83,1480.28,125.13,91.9,281.53,Pending,Debit Card,Direct,,45.84,2024-09-09 13:39:50,2025-09-30 09:45:47,API,Cancelled,REV_00000012,3,Century shoulder bad upon fine throw project current.,"Director home opportunity drive leader clearly. Hit decide away player.
Baby treat realize surface upon section since.",2025-01-05,49,True,Belo Horizonte,2024-12-29,Couple,Single,CloudBooking,2024-09-09 13:39:50,2025-09-30 09:45:47
H00442,"Stevenson, Cordova and Stuart",Portugal,Funchal,Resort,4,72,Free WiFi,Note whether fear west develop. Measure teach live detail cut can.,"Beach,Museum,Park",27.090582,165.99459,http://www.martinez.com/,C0002967,   ,Keller,    Keller,michelle19@example.com,+1-637-409-8785x3885,1975-10-19,F,Singapore,Singapore,"07517 Jennifer Row Suite 765, Singapore",XD 93129, tr ,Bronze,2025-06-03,False,BKG_000000013,0000-00-00,2025-05-10,2025-05-20,10,4,1,0,single,3,Agent,No requests,False,,,1847.47,524.61,87.88,39.6,1550.79,Paid,Debit Card,Airbnb,!!NO_PROMO,197.48,2025-07-16 15:13:52,2025-08-19 15:42:43,API,Confirmed,REV_00000013,Five,Sometimes their peace source.,"American agent I anyone life catch. Force modern financial strategy serve better financial later.
Process tonight however. Institution know major.",2024-08-30,27,False,Rhodes,2025-05-11,Couple,!!suite,MobileApp,2025-07-16 15:13:52,2025-08-19 15:42:43
H00666,Butler Group,Czech Republic,Prague,Resort,4,432,"Pool,Gym,Spa",Watch just without seek loss arm.,Shopping Mall,6.700208,23.99294,https://www.small.net/,C0003172,Christina,Hensley,Christina Hensley,steven30@example.net,(233)828-9233,1992-04-17,F,Thailand,Pattaya,"96387 Kelly Mall Apt. 516, Pattaya",   ,en,Silver,2025-05-26,False,BKG_000000014,2023-13-01,2024-11-23,2024-11-24,1,1,1,0,suite,1,Agent, Late check-in ,False,,,1620.43,333.83,153.52,73.65,1189.18,Paid,PayPal,Expedia,___,151.46,2023-11-30 04:21:51,2024-11-09 01:19:26,API,Cancelled,REV_00000014,5,Theory which either attorney ok guy amount other.,"Mean my live catch.
Experience threat carry toward sound relationship. Financial difference management police.",2025-02-10,-1,False,Bogotá,2025-06-18,Family,double,CloudBooking,2023-11-30 04:21:51,2024-11-09 01:19:26
H00409,Vaughn Ltd,United Arab Emirates,Dubai,City Hotel,3,382,Restaurant,Upon chance machine sure consumer. Own green personal character responsibility research article.,Shopping Mall,4.208897,90.488459,http://www.smith.com/,C0002451,Phillip,Williamson,Phillip Williamson,michael84@example.com,000-000-0000,1988-07-13,Other,United States,New York,"15540 Stewart Orchard, New York",ZO 81817,fr,Silver,2025-03-11,True,BKG_000000015,2025-04-03,2026-03-05,2026-03-17,12,4,3,0,single,1,Agent,No requests,True,2025-07-03,___,1109.05,723.05,117.06,17.84,793.06,Refunded,Debit Card,TravelAgency,,191.13,02/30/2025,2025-05-09 05:30:41,AGENT,Pending,REV_00000015,1,Individual reduce some trip.,Become discuss direction heart however. Rest fast upon look discuss reflect true. Less add practice book of child amount.,2024-04-09,94,True,Turku,2025-06-06,Family,double,CloudBooking,02/30/2025,2025-05-09 05:30:41
H00486,Jackson Inc,Kenya,Mombasa, Business Hotel ,2,300,Restaurant,Hear kitchen thousand himself apply five student from. Else she drop. Box base enter carry stock.,Shopping Mall,28.118375,-144.418769,http://www.bishop.com/,C0001381,--,Vega,-- Vega,sparkstina@example.org,(684)615-0101,1972-11-14,M,Finland,Espoo,"297 Joseph Hills Suite 427, Espoo",   ,de,Platinum,2023-10-25,False,BKG_000000016,2024-08-17,2024-12-26,2025-01-05,10,1,2,0,double,2,Phone,Extra bed,False,,,250.08,9999,274.7,40.21,154.66,Refunded,Cash,Booking.com,,97.74,2024-11-22 23:14:41,2025-02-03 08:42:07,,Confirmed,REV_00000016,5,End woman price push maintain require.,Population provide reason word example. Born kitchen more west receive meet process.,2023-12-03,45,True,Manila,2025-02-09,Couple,single,MobileApp,2024-11-22 23:14:41,2025-02-03 08:42:07
H00810,"Brock, Nelson and Jackson",Norway,Stavanger,Business Hotel,2,414,"Pool,Gym,Spa",Continue half card hair attorney. Smile thing ago none produce would.,,-34.778662,116.743967,https://www.beltran-adams.info/,C0000917,Kenneth,Glenn,Kenneth Glenn,amanda01@example.org,551-266-0976,1957-10-04,M,Croatia,,"83479 Douglas Port, Dubrovnik",VY 37489,es,Gold,2024-07-11,True,BKG_000000017,2023-11-06,2026-03-31,2026-04-08,8,1,3,1,single,3,Agent,No requests,False,,,1699.77,985.36,278.49,0,990.39,Refunded,Cash,Booking.com,NO_PROMO,35.02,2025-02-22 05:33:27,2025-08-04 06:58:15,SYSTEM,Cancelled,REV_00000017,5,Term our free everyone whose partner.,And question commercial political. Discover little population position executive pick forget.,2025-01-13,88,True,Bangalore,2025-03-18,Family,double,APIGateway,2025-02-22 05:33:27,2025-08-04 06:58:15
H00798,Chavez-Williams,China,Beijing,Luxury Hotel,1,240,"Pool,Gym,Spa",Response environmental glass worry process doctor step. Raise daughter hour. Ever sister heart.,"Beach,Museum,Park",-18.438468,-82.679515,http://sims.net/,C0004097,Nicole,Williams,Nicole Williams,laurie20@example.org,898-479-8178x338,1971-11-04,Other,Belgium,Antwerp,"18499 Poole Square, Antwerp",SY 57450,es,!!Platinum,2025-07-16,False,BKG_000000018,2024-03-20,2024-11-22,2024-11-30,8,1,2,1,suite,1,Web,Extra bed,True,2025-08-01,Hotel Closed,522.15,0,156.88,8.68,213.24,Failed,Credit Card,Airbnb,,118.52,2025-05-15 01:34:47,2025-03-14 12:36:01,USER,Confirmed,REV_00000018,2,Probably many open lawyer election always behind sometimes.,Author live use camera join. Successful season reason it form great. Happy economic rate capital husband visit once.,2024-09-19,79,True,Queenstown,2025-03-13,Leisure,single,APIGateway,2025-05-15 01:34:47,2025-03-14 12:36:01
H00951,May and Sons,???,Bangkok,Business Hotel,1,24,"Pool,Gym,Spa",Understand decision worker make democratic.,"Beach,Museum,Park",60.892431,16.159874,http://hall-wells.com/,C0001231,Benjamin,Mayer,Benjamin Mayer...,harrisisaiah@example.net,(981)511-5195x7652,1955-09-21,M,Portugal,Coimbra,"09835 Wanda Plain Apt. 071, Coimbra",!!UZ 52830,tr,Gold,2022-11-30,True,BKG_000000019,2024-10-24,2025-01-07,2025-01-08,1,1,0,2,double,2,Web,Late check-in,True,2025-09-22,No Show,1071.29,1333.77,237.9,38.22,Five,Pending,PayPal,Booking.com,PROMO630,188.61,2024-10-16 01:31:38,,API,Confirmed,REV_00000019,5,As minute leave worry.,Whom either or father sure. Anyone certain its seven less remain practice for.,2024-10-08,77,True,Cork,2025-06-26,Solo,suite,LegacySystem,2024-10-16 01:31:38,
H00181,Coffey Inc,Norway,Bergen,Budget Hotel,3,Five,Restaurant,Difficult trial concern direction those usually actually. Where mouth investment or.,Shopping Mall,-36.350873,-36.78597,https://www.jones-ho.com/,C0003007,Danielle,Pena,Danielle Pena,smithrobert@example.com,000-000-0000,1970-02-22,Other,South Africa,Durban,"68004 Cassidy Center, Durban",MG 51539,es,Bronze,2023-11-20,False,BKG_000000020,!!2024-06-05,2025-10-24,2025-11-03,10,3,0,0,single,1,Phone,,False,,,1864.31,782.6,41.72,71.07,387.17,Pending,Debit Card,Airbnb,,118.34,2025-02-10 08:42:14,2025-07-15 18:42:48,AGENT,Cancelled,REV_00000020,3,Magazine forward hair campaign who.,"Either check argue only man. Charge may keep short need decision.
Safe number together remember. Woman off anyone five none author house.",2025-04-16,92,True,Brisbane,2025-08-29,Couple,double,CloudBooking,2025-02-10 08:42:14,2025-07-15 18:42:48
H00604,"Morales, Dean and Lee",United Arab Emirates,Abu Dhabi,Budget Hotel,2,117,,"Leader lot force hot important believe.
Strong character look indeed. Stop size end gas fire.","Beach,Museum,Park",-30.552926,131.163131,,C0003635,Joshua,Griffin,Joshua Griffin,matthewwhite@example.com,(457)960-4285,1964-02-12,M,Romania,Bucharest,"9437 Fernandez Prairie Suite 976, Bucharest",QM 32058,es,Silver,2023-09-12,False,BKG_000000021,,2026-04-25,"Jan 32, 2025",6,4,1,1,suite,1,Web,Extra bed,False,,,90.61,147.03,31.21,23.52,-1,Refunded,Credit Card,Direct,PROMO134,87.69,2024-06-11 14:11:59,2025-01-11 05:13:13,API,Confirmed,REV_00000021,1,Answer of water difficult.,Upon finally scientist trade finally. Record above newspaper property write hard parent fast.,2025-02-22,97,False,Ostrava,2025-01-02,Solo,single,CloudBooking,2024-06-11 14:11:59,2025-01-11 05:13:13
H00823,Wyatt PLC,Finland,Tampere,Boutique,4,208,Restaurant,Maybe majority clearly make door ten. Ball book pass hot body according.,Shopping Mall,11.356115,-33.167134,https://www.blevins.org/,C0004562,Blake,Leonard,Blake Leonard,vshort@example.org,469-506-3972x73139,1945-10-15,M,Morocco,Casablanca,"854 Spence Circles Apt. 750, Casablanca",LH 70088,es,Silver,2024-01-22,False,BKG_000000022,2025-05-06,2025-06-22,2025-06-28,6,1,0,0,single,1,Agent,Extra bed,False,,,1406.91,985.31,8.96,92.36,821.0,Refunded,Debit Card,Booking.com,,156.06,2024-02-20 05:34:00,2024-11-28 10:31:58,   ,Pending,REV_00000022,4,Floor evening live image smile whatever cultural see.,"Democratic head general. Improve four best now provide building grow. While face worry I.
Base wall happy alone base religious.",!!2024-04-19,97,False,Manchester,2025-04-02,Business,double,LegacySystem,2024-02-20 05:34:00,2024-11-28 10:31:58
H00139,Thompson-Howard,United Kingdom,!!Manchester,City Hotel,4,72,Free WiFi,???,"Beach,Museum,Park",8.818516,-25.033089,http://www.davis.com/,C0004760...,Alyssa,Smith,ALYSSA SMITH,vaughnnicholas@example.org,123-456-7890,1965-12-12,F,Croatia,ZAGREB,"8729 Carlson Gateway, Zagreb",OT 88074,de,,2024-11-30,True,BKG_000000023,2024-08-18,2026-08-26,2026-09-08,13,4,1,0,suite,3,Agent,Extra bed,True,2025-08-22,Payment Failed,1684.67,214.61,145.89,70.99,1103.44,Failed,Debit Card,Direct,PROMO975,147.36,2024-08-05 13:55:41,2025-05-26 16:48:04  ,API,Confirmed,REV_00000023,2,Focus product chair prevent responsibility into defense.,Down defense deep about produce assume middle. Best different choice interesting half agree. Just show reflect tax stuff later.,2023-12-02,52,True,Hamburg,2025-03-23,Leisure,double,mobileapp,2024-08-05 13:55:41,2025-05-26 16:48:04  
H00715,Thompson Ltd,South Africa,Port Elizabeth,Resort,1,306,Free WiFi,Administration he tell phone never. Most program bed sure fund far.,"Beach,Museum,Park",9.610318,56.363562,https://wright.com/,C0000546,Debra,Buck,Debra Buck,timothyestrada@example.net,847-574-0022x75061,1963-08-02,M,Turkey,Ankara,"3675 Mills Place, Ankara",AT 16062,tr,Gold,2023-02-20,True,BKG_000000024,2024-04-27,2024-11-01,2024-11-09,8,4,1,2,single,3,Mobile App,,False,,,311.68,,41.04,24.98,217.37,Refunded,Cash,Direct,,9.05,2024-05-22 07:51:32,2025-02-15 16:21:56,SYSTEM,Cancelled,REV_00000024,5,   ,Suggest myself detail argue whatever. She lot possible seem often style.,2024-03-19,9999,False,Kosice,2025-08-31,Leisure,suite,LegacySystem,2024-05-22 07:51:32,2025-02-15 16:21:56
H00324,Johnson and Sons,Slovakia,Nitra,Business Hotel,1,297,Restaurant,Every stay eye become. Style during continue big activity head.,,72.920339,-158.69784,http://www.luna-porter.net/,C0000054,Krystal,West,Krystal West,thomas31@example.net,001-980-898-1312x27220,1975-06-03,Other,Germany,Stuttgart," 892 James Bridge Suite 352, Stuttgart ",QG 57857,es,Gold,2023-01-03,True,BKG_000000025,,2025-06-07,2025-06-17,10,4,2,2,suite,3,Mobile App,,False,,,280.59,9999,297.43,23.12,279.63,Refunded,Credit Card,Airbnb,NO_PROMO,-1,2025-02-25 06:56:46,2025-08-20 06:23:48,AGENT,Pending,REV_00000025,1,Cut expert drive why.,Market beautiful and eye situation special outside share. Maybe father it many mean month. City indeed room.,2024-11-05,28,True,Liverpool,2025-07-10,Business,single,CloudBooking,2025-02-25 06:56:46,2025-08-20 06:23:48
H00788,Allen-Powers,!!Mexico,Monterrey,Budget Hotel,4,176,Restaurant,Ok option some certain save own. Focus it behavior impact.,"Beach,Museum,Park",-73.772356,84.483064,http://mills-ruiz.com/,C0003014,Margaret,Patel,margaret patel,tina34@example.net,001-539-928-5060x5309,1984-06-10,Other,Spain,Granada,"293 Heather Village Suite 316, Granada",EI 97124,de,Silver,2024-02-28,False,BKG_000000026,2025-10-29,"Jan 32, 2025",2025-01-24,9,4,-1,1,single,2,Phone,No requests,,,,57.73,262.35,112.3,25.31,19.2,Pending,PayPal,   ,PROMO626,14.71,2024-01-20 04:39:33,2025-03-26 18:38:04,API,Confirmed,REV_00000026,2,Nearly they film anyone really social we.,Maybe marriage respond well yourself professional. Large painting character suddenly must south. Bring better fall prevent summer seem.,2024-12-19,73,False,Salvador,2024-12-17,Couple,double,CloudBooking,2024-01-20 04:39:33,2025-03-26 18:38:04
H00639,Armstrong LLC,Chile,Santiago,City Hotel,1,127,Free WiFi,Series modern political rather company myself I only. Yet center road person.,Shopping Mall,44.583123,5.330421,http://www.castro.com/,C0001260,Julie,Davis, Julie Davis ,,(244)932-3789x027,1963-02-08,F,Spain,Granada,"804 Tapia Fall Apt. 872, Granada",EH 11869,de,Gold,2025-10-11,False,BKG_000000027,2025-09-25,2026-04-12,2026-04-23,11,2,0,0,single,3,Web,Late check-in,False,,,1404.19,472.37,222.32,32.34,900.86,,PayPal,TravelAgency,NO_PROMO,73.29,2024-06-03 11:56:34,2024-11-23 12:45:33,AGENT,Confirmed,REV_00000027,4,Executive happy security.,"Degree box accept after look. Cup score eye room floor. Mission board service agree hospital.
Just good individual sport. Wait notice civil mission.",2024-05-24,15,False,Dubai,2025-04-14,Couple,suite,APIGateway,2024-06-03 11:56:34,2024-11-23 12:45:33
H00018,Anderson-Perez,SOUTH KOREA,Busan,Business Hotel,4,201,Free WiFi,Religious figure store poor. Music finish manager speak end hand well movie.,Historic Site,20.96035,-131.011416,http://www.le.biz/,C0001861,Kendra,Murphy,Kendra Murphy,lesterjeremy@example.org,(400)789-0447,1995-09-15,M,South Africa,Pretoria,"078 Powers Gateway Suite 205, Pretoria",XX 62268,tr,Bronze,2024-10-03,False,BKG_000000028,2024-09-06,2026-03-11,2026-03-18,,3,0,2,suite,1,Phone,,False,,,381.93,437.38,114.46,33.21,70.11,Paid,PayPal,Expedia,,165.48,2025-01-14 08:39:22,2025-07-30 16:03:08,AGENT,Confirmed,REV_00000028,2,Painting huge key past modern administration voice.,"Tree across study evening forget mind use model. Artist just far there.
Whom service lawyer class. Issue statement great machine I the.",2024-05-06,48,False,Salzburg,2025-03-30,Solo,double,MobileApp,2025-01-14 08:39:22,2025-07-30 16:03:08
H00984,Owen-Williams,Nigeria,Lagos,Resort,2,342,Free WiFi,Democrat reach last according about health. Right institution class road. I rest mother economy.,"Beach,Museum,Park",83.62208,57.136197,https://www.anderson-lozano.biz/,C0001916,Donald,Williams,Donald Williams,joanne27@example.com,+1-814-675-7545x091,1981-06-18,Other,Chile,Concepción,"8191 Villanueva Grove, Concepción",IB 27549,fr,Platinum,2024-06-13, False ,BKG_000000029,2024-08-19,2025-02-11,2025-02-21,10,2,2,0,single,3,Phone,,True,2025-08-02,Customer Request,1074.66,992.3,6.55,22.62,832.51,Failed,Cash,Direct,NO_PROMO,13.31,2024-11-12 09:33:33,2025-01-13 22:13:02,USER,Cancelled,REV_00000029,4,Allow identify power probably toward various.,"Lay exist billion magazine. Practice sound go themselves bit check.
Discuss surface key difference lose. Across hand similar agree sense we media.",2024-08-24,60,True,Copenhagen,2024-11-27,Business,double,CloudBooking,2024-11-12 09:33:33,2025-01-13 22:13:02
